age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,y
58,2,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
48,10,1,2,1,0,2,1,2,5,200,1,-1,0,0,no
18,2,2,2,1,-1000,2,1,2,5,200,1,-1,0,0,no
48,10,2,2,1,-1000,1,1,2,5,0,1,-1,0,0,no
28,1,1,2,1,0,2,1,2,5,400,1,-1,0,0,no
38,8,1,2,1,2000,2,1,2,5,0,1,-1,0,0,no
48,5,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
58,2,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
48,6,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
58,6,2,2,1,0,2,1,2,5,600,1,-1,0,0,no
28,1,3,1,1,-1000,2,1,2,5,200,1,-1,0,0,no
58,7,2,3,1,-1000,2,1,2,5,200,1,-1,0,0,no
38,10,2,2,1,0,2,1,2,5,200,2,-1,0,0,no
48,10,1,2,1,0,1,1,2,5,0,1,-1,0,0,no
28,5,3,3,1,0,2,1,2,5,200,1,-1,0,0,no
48,2,2,2,1,1000,2,1,2,5,200,1,-1,0,0,no
48,5,1,3,1,-1000,2,1,2,5,200,1,-1,0,0,no
38,1,3,2,1,-1000,2,1,2,5,600,1,-1,0,0,no
18,10,3,2,1,-1000,2,2,2,5,0,1,-1,0,0,no
38,3,3,3,1,0,1,2,2,5,0,1,-1,0,0,no
38,5,3,3,1,0,2,1,2,5,0,1,-1,0,0,no
38,2,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,2,3,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,8,2,1,1,0,2,1,2,5,0,1,-1,0,0,no
28,1,2,3,1,0,2,1,2,5,0,1,-1,0,0,no
48,10,1,2,1,0,2,1,2,5,800,1,-1,0,0,no
28,8,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
48,2,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
58,6,2,3,1,0,1,1,2,5,400,1,-1,0,0,no
58,5,1,3,1,0,2,1,2,5,200,1,-1,0,0,no
48,10,2,2,1,1000,2,1,2,5,0,2,-1,0,0,no
28,2,3,2,1,0,2,2,2,5,0,1,-1,0,0,no
48,2,2,2,1,0,2,2,2,5,200,1,-1,0,0,no
28,8,2,2,1,0,2,2,2,5,0,1,-1,0,0,no
48,5,2,2,1,0,2,2,2,5,0,1,-1,0,0,no
48,2,2,1,1,0,2,1,2,5,200,1,-1,0,0,no
38,10,2,2,1,1000,2,1,2,5,0,1,-1,0,0,no
48,10,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,2,2,2,1,0,1,2,2,5,200,1,-1,0,0,no
48,8,1,2,1,0,1,1,2,5,200,1,-1,0,0,no
48,8,1,2,1,0,2,2,2,5,200,1,-1,0,0,no
48,8,1,2,2,0,2,1,2,5,200,1,-1,0,0,no
38,8,1,2,1,0,1,1,2,5,200,1,-1,0,0,no
38,7,2,3,1,0,2,2,2,5,200,1,-1,0,0,no
48,2,2,1,1,0,2,1,2,5,400,2,-1,0,0,no
38,5,1,2,1,0,2,2,2,5,0,2,-1,0,0,no
48,6,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
38,5,3,2,1,0,1,1,2,5,0,1,-1,0,0,no
28,10,2,2,1,0,2,2,2,5,200,2,-1,0,0,no
58,1,2,2,1,0,2,1,2,5,400,1,-1,0,0,no
48,3,1,2,1,-1000,1,1,2,5,0,1,-1,0,0,no
28,5,2,3,1,0,2,2,2,5,400,1,-1,0,0,no
48,2,2,2,1,0,1,1,2,5,200,1,-1,0,0,no
58,6,2,3,1,0,2,1,2,5,0,1,-1,0,0,no
38,10,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
38,5,2,3,1,0,2,1,2,5,0,1,-1,0,0,no
38,2,2,2,1,-1000,2,1,2,5,200,1,-1,0,0,no
48,2,2,1,1,0,1,1,2,5,0,1,-1,0,0,no
58,2,2,1,1,0,2,1,2,5,0,3,-1,0,0,no
18,10,3,3,1,0,2,1,2,5,400,1,-1,0,0,no
38,10,2,3,1,0,2,1,2,5,0,1,-1,0,0,no
28,1,2,2,1,0,1,2,2,5,0,1,-1,0,0,no
58,6,3,2,1,0,2,1,2,5,400,1,-1,0,0,no
38,5,2,3,1,0,2,1,2,5,800,2,-1,0,0,no
28,8,1,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,10,1,2,1,0,1,1,2,5,0,1,-1,0,0,no
48,7,2,1,1,-1000,2,2,2,5,200,2,-1,0,0,no
28,2,2,1,1,0,2,1,2,5,200,1,-1,0,0,no
58,6,1,1,1,0,2,1,2,5,0,1,-1,0,0,no
38,2,2,2,1,0,2,1,2,5,200,2,-1,0,0,no
38,1,2,2,1,0,2,1,2,5,400,1,-1,0,0,no
28,5,3,3,1,-1000,2,1,2,5,200,1,-1,0,0,no
58,5,1,3,1,0,1,1,2,5,0,1,-1,0,0,no
48,10,2,1,1,0,1,1,2,5,0,1,-1,0,0,no
48,10,1,2,1,0,2,1,2,5,400,1,-1,0,0,no
48,2,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
28,1,2,2,1,0,2,1,2,5,0,3,-1,0,0,no
38,8,2,2,1,0,2,2,2,5,0,2,-1,0,0,no
48,10,2,3,1,0,1,2,2,5,0,1,-1,0,0,no
28,10,3,2,1,0,2,1,2,5,200,2,-1,0,0,no
28,1,3,2,1,0,2,2,2,5,0,1,-1,0,0,no
28,8,2,2,1,-1000,2,2,2,5,0,1,-1,0,0,no
28,2,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
48,5,2,2,1,1000,1,1,2,5,600,1,-1,0,0,no
28,1,3,2,1,0,2,1,2,5,200,1,-1,0,0,no
38,10,3,2,1,1000,2,1,2,5,0,1,-1,0,0,no
48,1,3,2,1,0,2,2,2,5,0,2,-1,0,0,no
28,11,3,3,1,0,2,1,2,5,0,2,-1,0,0,no
18,2,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
28,10,3,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,8,3,2,1,0,1,1,2,5,0,1,-1,0,0,no
28,2,2,2,1,0,2,1,2,5,400,1,-1,0,0,no
38,2,2,2,1,0,2,1,2,5,400,1,-1,0,0,no
48,4,1,1,1,0,2,1,2,5,0,1,-1,0,0,no
28,7,3,2,1,0,2,1,2,5,200,1,-1,0,0,no
48,11,2,3,1,0,1,1,2,5,0,1,-1,0,0,no
28,2,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
48,2,1,1,1,0,2,1,2,5,0,2,-1,0,0,no
48,11,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
38,8,2,1,1,0,2,1,2,5,0,2,-1,0,0,no
48,2,2,2,1,-1000,2,1,2,5,0,2,-1,0,0,no
18,9,3,2,1,0,2,1,2,5,600,2,-1,0,0,no
38,5,2,3,1,-1000,2,1,2,5,0,1,-1,0,0,no
38,5,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
48,10,2,1,1,0,1,1,2,5,0,2,-1,0,0,no
38,8,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
48,2,2,2,1,1000,2,1,2,5,0,1,-1,0,0,no
58,6,1,2,1,0,2,1,2,5,200,1,-1,0,0,no
48,2,2,2,1,0,2,1,2,5,0,3,-1,0,0,no
48,2,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
48,8,2,2,1,1000,2,1,2,5,0,1,-1,0,0,no
38,10,3,3,1,0,2,1,2,5,0,1,-1,0,0,no
38,8,3,2,1,0,2,1,2,5,200,2,-1,0,0,no
38,2,2,2,1,1000,2,1,2,5,400,5,-1,0,0,no
18,1,3,2,1,0,2,1,2,5,200,1,-1,0,0,no
48,10,2,2,1,1000,2,1,2,5,200,1,-1,0,0,no
48,2,2,1,1,0,1,1,2,5,200,3,-1,0,0,no
28,2,2,2,1,0,2,1,2,5,1000,1,-1,0,0,no
38,8,2,2,1,1000,2,2,2,5,200,1,-1,0,0,no
48,3,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
28,6,3,1,1,0,1,1,2,5,0,1,-1,0,0,no
58,1,1,2,1,0,2,1,2,5,0,1,-1,0,0,no
48,1,1,2,1,1000,2,1,2,5,400,1,-1,0,0,no
48,11,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
28,10,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
48,8,2,2,1,0,2,1,2,5,400,2,-1,0,0,no
48,5,2,2,1,1000,2,1,2,5,600,1,-1,0,0,no
28,8,2,3,1,0,2,1,2,5,200,1,-1,0,0,no
28,10,1,2,1,0,2,1,2,5,600,2,-1,0,0,no
28,8,2,2,1,0,2,1,2,5,1000,1,-1,0,0,no
38,10,2,2,1,0,2,1,2,5,400,1,-1,0,0,no
28,1,2,3,1,0,2,1,2,5,0,2,-1,0,0,no
38,8,1,2,1,4000,2,1,2,5,200,1,-1,0,0,no
48,5,2,2,1,4000,1,1,2,5,0,1,-1,0,0,no
28,2,3,2,1,0,2,2,2,5,200,1,-1,0,0,no
28,5,3,3,1,0,2,1,2,5,400,1,-1,0,0,no
48,6,2,2,1,2000,2,1,2,5,0,1,-1,0,0,no
28,5,2,3,1,0,2,1,2,5,200,1,-1,0,0,no
48,5,2,3,1,0,2,1,2,5,0,2,-1,0,0,no
38,1,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
28,2,3,2,1,0,2,1,2,5,200,2,-1,0,0,no
38,8,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
48,10,1,3,1,0,1,2,2,5,0,1,-1,0,0,no
38,5,2,3,1,0,2,1,2,5,200,1,-1,0,0,no
58,2,1,1,1,1000,2,1,2,5,0,2,-1,0,0,no
48,7,2,3,1,0,2,1,2,5,200,1,-1,0,0,no
28,9,3,2,1,0,2,1,2,5,600,2,-1,0,0,no
28,8,2,2,1,0,2,1,2,5,400,1,-1,0,0,no
48,8,2,2,1,0,2,1,2,5,200,2,-1,0,0,no
38,5,2,3,1,0,2,2,2,5,0,1,-1,0,0,no
38,8,3,2,1,0,2,1,2,5,400,1,-1,0,0,no
38,6,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
48,6,2,2,1,0,2,1,2,5,200,2,-1,0,0,no
58,4,1,1,1,0,1,1,2,5,200,2,-1,0,0,no
48,2,2,1,1,-1000,2,1,2,5,200,1,-1,0,0,no
38,2,2,2,1,0,1,1,2,5,200,2,-1,0,0,no
48,11,2,2,1,0,1,1,2,5,400,3,-1,0,0,no
38,4,2,1,1,0,1,1,2,5,0,1,-1,0,0,no
38,5,2,3,1,0,2,2,2,5,0,2,-1,0,0,no
38,11,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
28,2,2,1,1,0,2,1,2,5,0,1,-1,0,0,no
28,3,1,2,1,-1000,2,1,2,5,200,1,-1,0,0,no
48,6,2,2,1,0,1,2,2,5,0,1,-1,0,0,no
38,10,1,2,1,0,2,1,2,5,1400,1,-1,0,0,no
48,2,2,1,1,0,2,1,2,5,0,2,-1,0,0,no
58,5,2,2,1,1000,2,1,2,5,200,3,-1,0,0,no
28,5,3,3,1,0,2,1,2,5,0,1,-1,0,0,no
28,2,2,2,1,1000,1,1,2,5,200,2,-1,0,0,no
48,8,1,2,1,1000,2,1,2,5,0,1,-1,0,0,no
38,2,2,1,1,-1000,2,1,2,5,0,1,-1,0,0,no
28,8,2,2,1,0,2,1,2,5,600,2,-1,0,0,no
48,3,2,2,1,0,2,1,2,5,600,2,-1,0,0,no
48,2,2,2,1,1000,1,1,2,5,0,1,-1,0,0,no
38,2,2,1,1,0,2,1,2,5,0,1,-1,0,0,no
48,1,1,2,1,0,2,1,2,5,0,2,-1,0,0,no
48,2,1,1,1,-1000,2,2,2,5,200,1,-1,0,0,no
38,10,2,2,1,0,2,2,2,5,0,1,-1,0,0,no
38,3,2,2,1,0,2,1,2,5,600,1,-1,0,0,no
38,1,2,2,1,0,1,1,2,5,0,1,-1,0,0,no
38,10,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
48,5,2,3,1,3000,2,1,2,5,200,3,-1,0,0,no
38,5,2,2,1,0,1,1,2,5,400,2,-1,0,0,no
18,2,3,2,1,0,2,1,2,5,0,2,-1,0,0,no
38,2,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
48,8,2,2,1,2000,2,1,2,5,600,2,-1,0,0,no
48,1,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
48,2,2,2,1,0,2,2,2,5,0,1,-1,0,0,no
28,8,3,2,1,0,2,1,2,5,0,1,-1,0,0,no
28,10,1,2,1,0,2,1,2,5,200,1,-1,0,0,no
48,5,3,3,1,0,2,1,2,5,0,1,-1,0,0,no
38,2,2,1,1,0,2,1,2,5,200,1,-1,0,0,no
58,3,1,2,1,0,2,1,2,5,0,3,-1,0,0,no
28,10,3,2,1,2000,2,1,2,5,0,2,-1,0,0,no
28,8,2,2,1,0,2,2,2,5,200,1,-1,0,0,no
48,2,2,2,1,0,2,1,2,5,600,2,-1,0,0,no
28,5,3,3,1,0,2,1,2,5,0,2,-1,0,0,no
28,10,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,5,1,3,1,0,2,1,2,5,0,3,-1,0,0,no
38,3,2,1,1,0,2,1,2,5,0,1,-1,0,0,no
28,9,3,3,1,0,2,1,2,5,0,2,-1,0,0,no
38,1,1,2,1,-1000,2,1,2,5,600,2,-1,0,0,no
38,2,2,1,1,0,2,2,2,5,0,2,-1,0,0,no
38,2,2,1,1,0,2,1,2,5,400,1,-1,0,0,no
38,2,1,1,1,0,2,1,2,5,800,1,-1,0,0,no
48,10,2,2,1,1000,2,1,2,5,0,4,-1,0,0,no
48,3,1,2,1,0,1,1,2,5,0,3,-1,0,0,no
28,1,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
58,6,2,2,1,0,2,1,2,5,0,3,-1,0,0,no
38,8,1,2,1,-1000,2,1,2,5,0,3,-1,0,0,no
48,8,2,2,1,0,1,1,2,5,200,2,-1,0,0,no
38,8,3,2,1,0,2,1,2,5,0,2,-1,0,0,no
28,7,2,3,1,0,1,1,2,5,0,2,-1,0,0,no
48,2,2,1,1,0,2,1,2,5,600,3,-1,0,0,no
38,1,2,2,1,-1000,2,2,2,5,0,2,-1,0,0,no
48,10,2,3,1,0,1,1,2,5,200,4,-1,0,0,no
58,2,2,1,1,0,2,1,2,5,0,2,-1,0,0,no
28,2,3,2,1,0,2,1,2,5,0,2,-1,0,0,no
28,1,3,2,1,0,2,1,2,5,200,2,-1,0,0,no
38,1,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
48,10,3,3,1,0,2,1,2,5,0,3,-1,0,0,no
28,2,2,2,1,1000,2,1,2,5,200,2,-1,0,0,no
38,7,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
28,5,2,3,1,0,2,1,2,5,0,2,-1,0,0,no
48,10,3,2,1,0,2,1,2,5,600,2,-1,0,0,no
18,9,3,2,1,0,2,1,2,5,200,3,-1,0,0,no
48,5,2,3,1,0,1,1,2,5,0,2,-1,0,0,no
28,10,2,2,1,0,2,1,2,5,200,4,-1,0,0,no
48,10,1,1,1,0,2,1,2,5,200,2,-1,0,0,no
18,9,3,2,1,0,2,1,2,5,200,2,-1,0,0,no
38,2,1,1,1,0,2,1,2,5,0,3,-1,0,0,no
48,10,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
38,2,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
48,1,2,2,1,0,2,1,2,5,200,2,-1,0,0,no
28,8,3,2,1,0,2,1,2,5,200,2,-1,0,0,no
48,10,2,2,1,1000,2,1,2,5,200,2,-1,0,0,no
38,2,2,2,1,0,2,2,2,5,0,2,-1,0,0,no
38,5,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
48,1,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
48,8,1,1,1,0,2,2,2,5,200,2,-1,0,0,no
28,8,1,2,1,0,2,2,2,5,200,2,-1,0,0,no
28,1,3,3,1,0,1,1,2,5,0,2,-1,0,0,no
38,1,2,2,1,-1000,2,1,2,5,200,2,-1,0,0,no
28,2,2,2,1,0,2,2,2,5,400,2,-1,0,0,no
48,10,3,2,1,0,2,1,2,5,200,2,-1,0,0,no
38,6,3,1,1,0,1,1,2,5,0,2,-1,0,0,no
48,2,2,2,1,0,2,1,2,5,200,2,-1,0,0,no
48,5,2,2,1,0,2,1,2,5,200,3,-1,0,0,no
28,10,1,3,1,2000,1,1,2,5,0,2,-1,0,0,no
28,1,3,2,1,0,2,1,2,5,0,2,-1,0,0,no
48,5,3,3,1,0,1,1,2,5,0,4,-1,0,0,no
38,2,3,2,1,0,2,1,2,5,200,3,-1,0,0,no
38,10,2,3,1,0,2,1,2,5,200,3,-1,0,0,no
48,10,2,2,1,0,2,1,2,5,200,3,-1,0,0,no
48,2,2,2,1,0,1,1,2,5,600,3,-1,0,0,no
38,2,2,2,1,0,2,1,2,5,400,2,-1,0,0,no
28,2,3,2,1,-1000,2,1,2,5,0,2,-1,0,0,no
58,5,3,3,1,1000,2,1,2,5,0,5,-1,0,0,no
38,5,1,3,1,0,2,1,2,5,200,3,-1,0,0,no
48,2,2,2,1,0,2,1,2,5,0,4,-1,0,0,no
38,1,3,2,1,1000,2,1,2,5,0,2,-1,0,0,no
48,10,2,2,1,0,2,2,2,5,0,2,-1,0,0,no
48,1,3,2,2,-1000,1,1,2,5,400,3,-1,0,0,no
38,2,3,2,1,0,2,1,2,5,0,3,-1,0,0,no
38,5,1,2,1,0,2,1,2,5,0,3,-1,0,0,no
38,2,1,2,1,-1000,2,1,2,5,0,2,-1,0,0,no
48,2,2,1,1,1000,2,1,2,5,200,2,-1,0,0,no
28,5,2,3,1,0,2,1,2,5,0,4,-1,0,0,no
48,8,2,2,1,0,1,1,2,5,400,2,-1,0,0,no
38,10,2,2,1,0,2,1,2,5,0,4,-1,0,0,no
38,2,2,1,1,-1000,2,1,2,5,600,2,-1,0,0,no
38,8,2,3,1,0,2,1,2,5,400,4,-1,0,0,no
48,5,2,3,1,0,2,1,2,5,0,3,-1,0,0,no
38,5,3,3,1,0,2,1,2,5,0,2,-1,0,0,no
38,2,2,2,1,0,2,1,2,5,800,2,-1,0,0,no
28,2,2,2,1,0,2,1,2,5,0,2,-1,0,0,no
58,2,1,2,1,0,1,1,2,5,200,3,-1,0,0,no
38,2,3,2,1,0,2,1,2,5,400,4,-1,0,0,no
28,3,3,3,1,1000,2,1,2,5,200,2,-1,0,0,no
38,2,2,2,1,0,2,1,2,5,200,4,-1,0,0,no
38,1,3,3,1,0,2,1,2,5,0,2,-1,0,0,no
48,5,2,3,1,0,2,1,2,5,200,2,-1,0,0,no
38,8,2,2,1,1000,2,1,2,5,0,2,-1,0,0,no
18,8,2,2,1,0,2,1,2,5,0,3,-1,0,0,no
48,1,2,2,1,0,2,2,2,5,200,2,-1,0,0,no
58,1,2,2,1,0,2,1,2,5,0,3,-1,0,0,no
38,1,1,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,5,1,3,1,0,2,1,2,5,200,1,-1,0,0,no
38,1,1,3,1,0,2,1,2,5,200,1,-1,0,0,no
18,9,3,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,1,2,2,1,0,2,2,2,5,0,1,-1,0,0,no
28,2,2,2,1,1000,1,1,2,5,600,1,-1,0,0,no
48,2,3,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,1,3,2,1,0,1,1,2,5,0,2,-1,0,0,no
48,8,2,2,1,0,2,2,2,5,200,1,-1,0,0,no
38,5,2,2,1,0,1,1,2,5,200,3,-1,0,0,no
38,1,2,2,1,0,1,1,2,5,400,1,-1,0,0,no
58,8,2,2,1,1000,2,2,2,5,0,1,-1,0,0,no
28,11,2,2,1,0,2,1,2,5,400,4,-1,0,0,no
58,2,1,2,1,0,2,1,2,5,200,1,-1,0,0,no
28,10,2,3,1,0,2,1,2,5,0,1,-1,0,0,no
38,10,1,3,1,0,2,1,2,5,0,1,-1,0,0,no
18,1,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
38,2,2,2,1,1000,2,1,2,5,600,2,-1,0,0,no
28,10,3,2,1,0,2,2,2,5,0,3,-1,0,0,no
38,1,3,2,1,0,2,1,2,5,200,1,-1,0,0,no
28,2,2,2,1,0,1,2,2,5,0,1,-1,0,0,no
38,4,2,1,1,0,2,1,2,5,0,1,-1,0,0,no
48,10,2,2,1,0,2,2,2,5,400,1,-1,0,0,no
28,7,3,3,1,0,2,1,2,5,0,1,-1,0,0,no
48,10,2,2,1,0,1,1,2,5,200,2,-1,0,0,no
48,5,2,3,1,0,1,1,2,5,200,1,-1,0,0,no
58,6,2,3,1,0,1,1,2,5,200,1,-1,0,0,no
38,2,1,1,1,1000,2,1,2,5,200,3,-1,0,0,no
38,2,2,2,1,1000,2,1,2,5,200,1,-1,0,0,no
28,8,3,2,1,0,2,1,2,5,200,1,-1,0,0,no
48,2,2,1,1,0,2,1,2,5,600,1,-1,0,0,no
38,1,3,2,1,-1000,2,1,2,5,400,1,-1,0,0,no
28,3,2,3,1,1000,2,1,2,5,0,2,-1,0,0,no
28,1,1,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,10,2,2,1,0,1,1,2,5,400,1,-1,0,0,no
48,2,1,1,1,0,2,2,2,5,0,1,-1,0,0,no
28,10,2,2,2,0,2,1,2,5,600,1,-1,0,0,no
48,5,3,3,1,0,2,1,2,5,400,3,-1,0,0,no
38,10,3,3,1,0,2,1,2,5,0,3,-1,0,0,no
38,8,2,2,1,1000,2,1,2,5,200,1,-1,0,0,no
48,2,2,1,1,2000,2,1,2,5,0,1,-1,0,0,no
38,10,3,3,1,4000,2,1,2,5,0,1,-1,0,0,no
48,1,2,2,1,0,2,1,2,5,600,1,-1,0,0,no
38,5,2,3,1,1000,2,1,2,5,600,1,-1,0,0,no
38,2,2,2,1,0,1,1,2,5,200,1,-1,0,0,no
58,10,1,2,1,0,1,1,2,5,0,1,-1,0,0,no
28,1,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
48,8,2,1,1,0,2,1,2,5,200,1,-1,0,0,no
28,10,3,3,1,0,2,1,2,5,0,1,-1,0,0,no
28,2,2,2,1,0,2,1,2,5,200,2,-1,0,0,no
18,7,3,2,1,0,2,1,2,5,200,1,-1,0,0,no
48,1,1,2,1,0,2,1,2,5,0,1,-1,0,0,no
48,7,2,2,1,-1000,2,1,2,5,0,1,-1,0,0,no
48,10,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
38,8,2,2,1,0,1,1,2,5,0,1,-1,0,0,no
38,5,1,2,1,0,2,1,2,5,0,1,-1,0,0,no
28,5,2,3,1,0,2,2,2,5,400,2,-1,0,0,no
28,2,2,2,1,0,2,2,2,5,0,1,-1,0,0,no
38,2,2,2,1,0,2,2,2,5,400,1,-1,0,0,no
38,1,3,2,1,-1000,2,2,2,5,0,1,-1,0,0,no
28,2,3,2,2,-1000,1,1,2,5,200,1,-1,0,0,no
58,2,1,2,1,-1000,1,1,2,5,0,1,-1,0,0,no
38,2,2,1,1,0,2,1,2,5,200,2,-1,0,0,no
38,2,2,2,1,-1000,2,1,2,5,0,1,-1,0,0,no
38,11,2,1,1,0,2,1,2,5,0,1,-1,0,0,no
28,8,3,1,1,0,2,1,2,5,0,1,-1,0,0,no
48,6,3,2,1,1000,1,2,2,5,200,4,-1,0,0,no
38,7,2,3,1,0,2,1,2,5,0,1,-1,0,0,no
38,8,1,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,4,3,1,1,0,2,1,2,5,600,3,-1,0,0,no
28,5,3,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,5,3,2,1,1000,2,1,2,5,0,1,-1,0,0,no
48,2,2,1,1,1000,2,1,2,5,0,1,-1,0,0,no
38,10,2,2,1,0,2,2,2,5,200,1,-1,0,0,no
38,2,2,2,1,0,1,1,2,5,0,1,-1,0,0,no
28,8,3,2,1,0,2,1,2,5,0,2,-1,0,0,no
48,5,1,1,1,0,1,1,2,5,400,1,-1,0,0,no
38,2,1,2,1,0,2,2,2,5,400,1,-1,0,0,no
58,5,1,3,1,-1000,2,2,2,5,200,1,-1,0,0,no
38,2,2,1,1,-1000,2,1,2,5,200,1,-1,0,0,no
48,11,2,3,1,0,1,1,2,5,200,1,-1,0,0,no
28,2,1,2,1,-1000,2,1,2,5,0,2,-1,0,0,no
38,1,3,2,1,0,2,1,2,5,0,2,-1,0,0,no
38,2,1,2,1,0,2,1,2,5,200,2,-1,0,0,no
48,2,1,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,2,2,2,1,-1000,2,1,2,5,0,2,-1,0,0,no
38,1,2,1,1,0,2,2,2,5,0,2,-1,0,0,no
28,10,3,2,1,-1000,1,1,2,5,0,1,-1,0,0,no
38,2,2,1,1,1000,2,1,2,5,200,2,-1,0,0,no
48,6,1,2,1,-1000,2,1,2,5,400,1,-1,0,0,no
58,6,2,2,2,0,1,1,2,5,0,1,-1,0,0,no
58,6,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
38,2,2,1,1,0,2,2,2,5,200,1,-1,0,0,no
48,5,1,2,1,1000,2,1,2,5,0,1,-1,0,0,no
48,3,2,2,1,0,2,2,2,5,0,3,-1,0,0,no
38,1,2,2,1,0,1,2,2,5,0,2,-1,0,0,no
28,10,2,2,1,0,2,2,2,5,0,1,-1,0,0,no
28,2,3,3,1,1000,2,1,2,5,0,1,-1,0,0,no
38,5,3,2,1,1000,2,1,2,5,200,1,-1,0,0,no
38,5,2,3,1,0,1,1,2,5,0,1,-1,0,0,no
